Private:Deposits,Private:Loans,Private:GovBonds,Private:Currency,Private:NetWorth,Banks:Loans,Banks:Reserves,Banks:Deposits,Banks:BankEquity,Government:TGA,Government:GovBonds,Government:GovEquity,CentralBank:Reserves,CentralBank:Currency,CentralBank:TGA,CentralBank:GovBonds,CentralBank:CBEq
1006.1666666666666,808.0,581.3666666666667,0.0,779.5333333333333,808.0,200.33333333333337,1006.1666666666666,2.1666666666667425,0.0,581.3666666666667,-581.3666666666667,200.33333333333337,0.0,0.0,0.0,-200.33333333333337
1012.3918055555555,816.08,662.9003722222222,0.0,859.2121777777778,816.08,200.66722222222228,1012.3918055555555,4.35541666666677,0.0,662.9003722222222,-662.9003722222222,200.66722222222228,0.0,0.0,0.0,-200.66722222222228
1018.6759987268515,824.2408,744.6014943324075,0.0,939.036693059259,824.2408,201.0016675925926,1018.6759987268515,6.566468865741172,0.0,744.6014943324075,-744.6014943324075,201.0016675925926,0.0,0.0,0.0,-201.0016675925926
1025.0198340591242,832.483208,826.4704118546179,0.0,1019.007037913742,832.483208,201.3366703719136,1025.0198340591242,8.800044312789396,0.0,826.4704118546179,-826.4704118546179,201.3366703719136,0.0,0.0,0.0,-201.3366703719136
1031.4239053075069,840.80804008,908.5075048446506,0.0,1099.1233700721575,840.80804008,201.6722314892001,1031.4239053075069,11.056366261693256,0.0,908.5075048446506,-908.5075048446506,201.6722314892001,0.0,0.0,0.0,-201.6722314892001
1037.8888121624632,849.2161204808,990.7131545635086,0.0,1179.3858462451717,849.2161204808,202.00835187501542,1037.8888121624632,13.335660193352169,0.0,990.7131545635086,-990.7131545635086,202.00835187501542,0.0,0.0,0.0,-202.00835187501542
1044.4151603091373,857.708281685608,1073.0877434842623,0.0,1259.7946221077916,857.708281685608,202.34503246147375,1044.4151603091373,15.638153837944401,0.0,1073.0877434842623,-1073.0877434842623,202.34503246147375,0.0,0.0,0.0,-202.34503246147375
1051.0035614872993,866.2853645024641,1155.6316552989697,0.0,1340.3498522838047,866.2853645024641,202.68227418224282,1051.0035614872993,17.964077197407505,0.0,1155.6316552989697,-1155.6316552989697,202.68227418224282,0.0,0.0,0.0,-202.68227418224282
1057.6546335518883,874.9482181474887,1238.3452749256546,0.0,1421.051690330054,874.9482181474887,203.02007797254657,1057.6546335518883,20.31366256814681,0.0,1238.3452749256546,-1238.3452749256546,203.02007797254657,0.0,0.0,0.0,-203.02007797254657
1064.3690005341646,883.6977003289635,1321.2289885153457,0.0,1501.9002887205465,883.6977003289635,203.35844476916745,1064.3690005341646,22.687144563966285,0.0,1321.2289885153457,-1321.2289885153457,203.35844476916745,0.0,0.0,0.0,-203.35844476916745
1071.147292703469,892.5346773322532,1404.2831834591734,0.0,1582.8957988303896,892.5346773322532,203.69737551044946,1071.147292703469,25.084760139233595,0.0,1404.2831834591734,-1404.2831834591734,203.69737551044946,0.0,0.0,0.0,-203.69737551044946
1077.9901466296035,901.4600241055757,1487.5082483955293,0.0,1664.0383709195569,901.4600241055757,204.03687113630025,1077.9901466296035,27.50674861227253,0.0,1487.5082483955293,-1487.5082483955293,204.03687113630025,0.0,0.0,0.0,-204.03687113630025
1084.898205245832,910.4746243466315,1570.9045732172858,0.0,1745.328154116486,910.4746243466315,204.37693258819414,1084.898205245832,29.953351688993507,0.0,1570.9045732172858,-1570.9045732172858,204.37693258819414,0.0,0.0,0.0,-204.37693258819414
1091.8721179125143,919.5793705900978,1654.4725490790772,0.0,1826.7652964014937,919.5793705900978,204.71756080917447,1091.8721179125143,32.42481348675801,0.0,1654.4725490790772,-1654.4725490790772,204.71756080917447,0.0,0.0,0.0,-204.71756080917447
1098.9125404813751,928.7751642959988,1738.2125684046434,0.0,1908.3499445900197,928.7751642959988,205.0587567438564,1098.9125404813751,34.92138055848022,0.0,1738.2125684046434,-1738.2125684046434,205.0587567438564,0.0,0.0,0.0,-205.0587567438564
1106.0201353604164,938.0629159389588,1822.1250248942365,0.0,1990.0822443156944,938.0629159389588,205.40052133842948,1106.0201353604164,37.443301916971905,0.0,1822.1250248942365,-1822.1250248942365,205.40052133842948,0.0,0.0,0.0,-205.40052133842948
1113.1955715794766,947.4435450983484,1906.2103135320908,0.0,2071.962340013219,947.4435450983484,205.74285554066023,1113.1955715794766,39.99082905953219,0.0,1906.2103135320908,-1906.2103135320908,205.74285554066023,0.0,0.0,0.0,-205.74285554066023
1120.4395248564485,956.9179805493319,1990.4688305939574,0.0,2153.990374901074,956.9179805493319,206.08576029989462,1120.4395248564485,42.56421599277792,0.0,1990.4688305939574,-1990.4688305939574,206.08576029989462,0.0,0.0,0.0,-206.08576029989462
1127.752677664158,966.4871603548252,2074.9009736547023,0.0,2236.166490964035,966.4871603548252,206.4292365670611,1127.752677664158,45.16371925772819,0.0,2074.9009736547023,-2074.9009736547023,206.4292365670611,0.0,0.0,0.0,-206.4292365670611
1135.1357192979106,976.1520319583734,2159.507141595971,0.0,2318.490828935508,976.1520319583734,206.77328529467286,1135.1357192979106,47.789597955135605,0.0,2159.507141595971,-2159.507141595971,206.77328529467286,0.0,0.0,0.0,-206.77328529467286
1142.5893459437148,985.9135522779571,2244.287734613919,0.0,2400.9635282796767,985.9135522779571,207.11790743683065,1142.5893459437148,50.44211377107308,0.0,2244.287734613919,-2244.287734613919,207.11790743683065,0.0,0.0,0.0,-207.11790743683065
