gov_spending,loan_change,interest_on_loans,interest_on_deposits,interest_on_reserves,interest_on_bonds,taxes,bond_issuance
100.0,8.0,2.666666666666667,0.8333333333333334,0.33333333333333337,1.25,19.883333333333333,81.36666666666667
100.0,8.08,2.6933333333333334,0.8384722222222223,0.33388888888888896,1.4534166666666668,19.919711111111113,81.53370555555556
100.0,8.1608,2.720266666666667,0.843659837962963,0.3344453703703705,1.6572509305555556,19.95612882037037,81.7011221101852
100.0,8.242408000000001,2.7474693333333335,0.8488966656057096,0.3350027793209877,1.8615037358310187,19.992586213620683,81.86891752221034
100.0,8.32483208,2.7749440266666667,0.8541831950492702,0.3355611172865227,2.066176029636545,20.029083039603833,82.03709299003272
100.0,8.4080804008,2.8026934669333334,0.8595199210895891,0.33612038581533354,2.2712687621116268,20.065619043253577,82.20564971885806
100.0,8.492161204808,2.830720401602667,0.8649073434687193,0.3366805864583591,2.4767828864087718,20.102193965654966,82.37458892075381
100.0,8.57708281685608,2.8590276056186936,0.8703459669242811,0.33724172076912295,2.682719358710656,20.13880754400325,82.5439118147074
100.0,8.66285364502464,2.8876178816748803,0.8758363012394161,0.3378037903037381,2.8890791382474243,20.175459511562394,82.71361962668503
100.0,8.749482181474887,2.916494060491629,0.8813788612932403,0.33836679662091096,3.0958631873141367,20.212149597623153,82.88371358969098
100.0,8.836977003289634,2.945659001096545,0.8869741671118039,0.3389307412819458,3.303072471288364,20.248877527460724,83.05419494382764
100.0,8.925346773322532,2.9751155911075107,0.8926227439195575,0.3394956258507491,3.5107079586479335,20.285643022291996,83.22506493635593
100.0,9.014600241055758,3.004866747018586,0.8983251221913363,0.34006145189383374,3.7187706209888236,20.322445799232316,83.39632482175651
100.0,9.104746243466314,3.0349154144887716,0.9040818377048601,0.3406282209803236,3.9272614330432147,20.359285571251863,83.56797586179135
100.0,9.195793705900979,3.0652645686336597,0.909893431593762,0.34119593468195747,4.136181372697693,20.396162047131558,83.74001932556614
100.0,9.287751642959988,3.0959172143199964,0.915760450401146,0.34176459457309405,4.345531421011609,20.433074931418556,83.91245648959305
100.0,9.380629159389589,3.1268763864631963,0.9216834461336804,0.3423342022307158,4.555312562235591,20.470023924381216,84.08528863785438
100.0,9.474435450983485,3.158145150327828,0.9276629763162305,0.34290475923443375,4.765525783830227,20.50700872196373,84.2585170618665
100.0,9.569179805493318,3.1897266018311066,0.9336996040470406,0.34347626716649104,4.976172076484893,20.544029015740165,84.43214306074472
100.0,9.664871603548251,3.2216238678494173,0.939793898053465,0.3440487276117685,5.187252434136756,20.58108449286816,84.6061679412686
100.0,9.761520319583735,3.2538401065279117,0.9459464327482588,0.34462214215778814,5.398767853989928,20.618174836042055,84.78059301794787
100.0,9.859135522779571,3.2863785075931906,0.952157788286429,0.34519651239471777,5.610719336534798,20.65529972344561,84.95541961308919
100.0,9.957726878007367,3.3192422926691223,0.9584285506226566,0.3457718399153757,5.823107885567521,20.692458828704215,85.1306490568633
100.0,10.057304146787441,3.352434715595814,0.9647593115692905,0.3463481263152346,6.035934508209679,20.729651820836633,85.30628268737304
100.0,10.157877188255316,3.385959062751772,0.9711506688549245,0.3469253731924267,6.249200214928111,20.766878364206253,85.48232185072186
100.0,10.259455960137869,3.4198186533792896,0.9776032261835569,0.34750358214774735,6.462906019554915,20.80413811847184,85.65876790108308
100.0,10.362050519739245,3.454016839913082,0.984117593294342,0.3480827547846603,6.6770529393076234,20.84143073853778,85.83562220076985
100.0,10.46567102493664,3.4885570083122133,0.9906943860219425,0.34866289270930134,6.8916419948095475,20.878755874503856,86.0128861203057
100.0,10.570327735186007,3.5234425783953354,0.9973342263574811,0.3492439975304836,7.106674210110311,20.916113171614494,86.19056103849582
100.0,10.676031012537868,3.5586770041792892,1.0040377425101044,0.3498260708597011,7.322150612706551,20.953502270207476,86.36864834249907
100.0,10.782791322663245,3.5942637742210817,1.0108055689691615,0.350409114311134,7.538072233562798,20.99092280566218,86.54714942790062
100.0,10.89061923588988,3.630206411963293,1.0176383465670042,0.35099312950165246,7.754440107132549,21.028374408347254,86.7260656987853
100.0,10.999525428248779,3.6665084760829263,1.0245367225424156,0.35157811805082184,7.971255271379512,21.065856703567803,86.9053985678117
100.0,11.109520682531265,3.7031735608437555,1.0315013506046724,0.35216408158090645,8.18851876779904,21.103369311511994,87.08514945628704
100.0,11.220615889356578,3.7402052964521926,1.0385328909982492,0.35275102171687467,8.406231641439758,21.140911847197167,87.2653197942426
100.0,11.332822048250144,3.777607349416715,1.045632010568168,0.35333894008640276,8.624394940925365,21.178483920415367,87.44591102051001
100.0,11.446150268732644,3.8153834229108816,1.0527993828260027,0.35392783831988006,8.84300971847664,21.216085135678355,87.62692458279828
100.0,11.560611771419971,3.853537257139991,1.0600356880165425,0.3545177180504132,9.062077029933636,21.25371509216204,87.8083619377716
100.0,11.67621788913417,3.8920726297113903,1.0673416131851226,0.3551085809138305,9.281597934778064,21.29137338365036,87.99022455112771
100.0,11.792980068025512,3.9309933560085044,1.074717852245629,0.3557004285486869,9.501573496155883,21.329059598478604,88.17251389767728
100.0,11.910909868705769,3.97030328956859,1.0821651060491817,0.35629326259626815,9.722004780900077,21.36677331947614,88.35523146142394
100.0,12.030018967392827,4.010006322464276,1.0896840824535037,0.3568870847005953,9.942892859553636,21.404514123908573,88.53837873564507
100.0,12.150319157066756,4.050106385688919,1.097275496392989,0.3574818965084296,10.16423880639275,21.442281583419366,88.72195722297337
100.0,12.271822348637425,4.090607449545808,1.104940069949465,0.35807769966927694,10.386043699450184,21.480075263970768,88.90596843547942
