Money_M1,Private_Debt,Private_Bonds,Bank_Reserves,Private_NFA,Banks_NFA,NonGov_NFA,Public_NFP,Sector_Balance_Check
1606.3333333333333,808.0,581.3333333333334,400.6666666666667,1379.6666666666665,2.333333333333485,1382.0,-1382.0,0.0
1612.7252777777778,816.08,662.8336111111112,401.33444444444444,1459.4788888888888,4.689166666666779,1464.1680555555556,-1464.1680555555554,2.2737367544323206e-13
1619.1764155092594,824.2408,744.501210787037,402.00333518518516,1539.4368262962967,7.0677196759259004,1546.5045459722226,-1546.5045459722219,6.821210263296962e-13
1625.6873345221838,832.483208,826.3365110060263,402.67334074382717,1619.54063752821,9.46921422164337,1629.0098517498534,-1629.0098517498532,2.2737367544323206e-13
1632.2586286876192,840.80804008,908.3398916109513,403.3444629784002,1699.7904802185703,11.893874370781077,1711.6843545893514,-1711.6843545893512,2.2737367544323206e-13
1638.8908978120587,849.2161204808,990.5117336494453,404.01670375003084,1780.186510980704,14.341926418772118,1794.5284373994762,-1794.528437399476,2.2737367544323206e-13
1645.5847476967738,857.708281685608,1072.8524193807627,404.69006492294756,1860.7288853919283,16.81359891178181,1877.5424843037101,-1877.5424843037101,0.0
1652.3407901977585,866.2853645024641,1155.3623322826986,405.36454836448576,1941.4177579779928,19.30912266919131,1960.726880647184,-1960.726880647184,0.0
1659.159643286273,874.9482181474887,1238.041857058566,406.04015594509326,2022.25328219735,21.828730806309068,2044.082013003659,-2044.082013003659,0.0
1666.0419311099947,883.6977003289635,1320.8913796442337,406.71688953833507,2103.235610425265,24.372658757303952,2127.6082691825686,-2127.6082691825686,0.0
1672.9882840547791,892.5346773322532,1403.9112872152232,407.394751020899,2184.3648939377495,26.941144298373047,2211.3060382361227,-2211.306038236122,9.094947017729282e-13
1679.9993388070397,901.4600241055757,1487.101968193866,408.07374227260044,2265.64128289533,29.534427571136348,2295.175710466466,-2295.1757104664657,4.547473508864641e-13
1687.0757384167493,910.4746243466315,1570.463812256523,408.75386517638816,2347.0649263266405,32.152751106270216,2379.217677432911,-2379.217677432911,0.0
1694.2181323610741,919.5793705900978,1653.9972103408643,409.4351216183489,2428.6359721118406,34.796359847372514,2463.432331959213,-2463.432331959212,9.094947017729282e-13
1701.4271766086424,928.7751642959988,1737.7025546532125,410.1175134877128,2510.354566965856,37.46550117506922,2547.8200681409253,-2547.8200681409244,9.094947017729282e-13
1708.7035336844565,938.0629159389588,1821.580238675948,410.801042676859,2592.2208564214457,40.160424931361376,2632.381281352807,-2632.3812813528066,4.547473508864641e-13
1716.0478727354532,947.4435450983484,1905.6306571749785,411.4857110813205,2674.2349848120834,42.88138344421577,2717.116368256299,-2717.1163682562983,9.094947017729282e-13
1723.4608695967217,956.9179805493319,1989.8542062072715,412.1715205997893,2756.3970952546615,45.62863155239938,2802.025726807061,-2802.02572680706,9.094947017729282e-13
1730.9432068583815,966.4871603548252,2074.251283128453,412.8584731341223,2838.7073296320095,48.40242663056597,2887.1097562625755,-2887.1097562625746,9.094947017729282e-13
1738.495573933129,976.1520319583734,2158.82228660047,413.5465705893459,2921.1658285752255,51.203028614590266,2972.3688571898156,-2972.3688571898147,9.094947017729282e-13
1746.1186671244625,985.9135522779571,2243.567616599321,414.23581487366147,3003.772731445826,54.03070002715617,3057.803431472982,-3057.803431472981,9.094947017729282e-13
1753.813189695586,995.7726878007367,2328.487674422851,414.9262078984509,3086.5281763177004,56.885706003601626,3143.413882321302,-3143.4138823213007,1.3642420526593924e-12
1761.5798519390041,1005.7304146787441,2413.5828626986145,415.61775157828174,3169.4322999588744,59.76831431802157,3229.200614276896,-3229.200614276895,9.094947017729282e-13
1769.4193712468116,1015.7877188255316,2498.853585391808,416.31044783091215,3252.485237813088,62.67879540963213,3315.1640332227203,-3315.164033222719,1.3642420526593924e-12
1777.3324721816875,1025.9455960137868,2584.3002478132676,417.00429857729694,3335.687123981169,65.61742240939611,3401.304546390565,-3401.3045463905637,1.3642420526593924e-12
1785.3198865485974,1036.2050519739246,2669.9232566275396,417.6993057415923,3419.0380912022124,68.58447116691946,3487.6225623691316,-3487.6225623691307,9.094947017729282e-13
1793.3823534672142,1046.567102493664,2755.723019861019,418.39547125116167,3502.5382708345696,71.58022027761126,3574.118491112181,-3574.11849111218,9.094947017729282e-13
1801.5206194450614,1057.0327735186006,2841.6999469101593,419.0927970365803,3586.18779283662,74.6049511101196,3660.7927439467394,-3660.7927439467385,9.094947017729282e-13
1809.7354384513897,1067.6031012537867,2927.854448549751,419.7912850316412,3669.9867857473537,77.65894783403837,3747.645733581392,-3747.645733581391,9.094947017729282e-13
1818.0275719917909,1078.2791322663245,3014.186936941278,420.49093717336063,3753.9353766667446,80.74249744789427,3834.677874114639,-3834.6778741146377,1.3642420526593924e-12
1826.3977891835596,1089.0619235889878,3100.6978256413395,421.19175540198296,3838.0336912359107,83.85588980741136,3921.8895810433223,-3921.8895810433214,9.094947017729282e-13
1834.8468668318055,1099.9525428248778,3187.387529610151,421.8937416609863,3922.281853617078,86.99941765405856,4009.2812712711366,-4009.2812712711366,0.0
1843.3755895063312,1110.9520682531265,3274.256465220116,422.5968978970879,4006.6799864733202,90.17337664388333,4096.853363117203,-4096.853363117203,0.0
1851.9847496192742,1122.0615889356577,3361.3050502644737,423.3012260602496,4091.2282109480902,93.378065376633,4184.606276324723,-4184.606276324723,0.0
1860.675147503528,1133.2822048250143,3448.533703966023,424.0067281036833,4175.926646644537,96.61378542516968,4272.540432069707,-4272.540432069706,9.094947017729282e-13
1869.4475914919478,1144.6150268732645,3535.9428469859213,424.7134059838561,4260.775411604604,99.88084136517273,4360.656252969777,-4360.656252969777,0.0
1878.3028979973462,1156.0611771419972,3623.53290143256,425.421261660496,4345.774622287909,103.17954080514687,4448.954163093055,-4448.954163093054,9.094947017729282e-13
1887.2418915932906,1167.621788913417,3711.30429087052,426.1302970965968,4430.924393550394,106.51019441672338,4537.434587967117,-4537.434587967116,9.094947017729282e-13
1896.2654050957078,1179.2980068025513,3799.257440329605,426.8405142584245,4516.224838622762,109.87311596526797,4626.09795458803,-4626.097954588028,1.8189894035458565e-12
1905.3742796453048,1191.090986870577,3887.39277631395,427.55191511552187,4601.676069088679,113.26862234079408,4714.944691429473,-4714.944691429471,1.8189894035458565e-12
1914.569364790813,1203.0018967392828,3975.7107268112172,428.26450164071446,4687.278194862748,116.697033589184,4803.975228451932,-4803.975228451931,9.094947017729282e-13
1923.8515185730673,1215.0319157066756,4064.2117213018673,428.9782758101156,4773.03132416826,120.15867294372379,4893.189997111984,-4893.189997111983,9.094947017729282e-13
1933.2216076099228,1227.1822348637425,4152.896190768513,429.69323960313244,4858.935563514694,123.65386685695216,4982.589430371646,-4982.589430371646,0.0
1942.6805071820227,1239.45405721238,4241.764567705358,430.40939500247106,4944.991017675001,127.18294503282823,5072.17396270783,-5072.173962707829,9.094947017729282e-13
1952.2291013194235,1251.8485977845037,4330.8172861277135,431.126743994142,5031.197789662633,130.746240459222,5161.944030121855,-5161.944030121856,-9.094947017729282e-13
1961.8682828890865,1264.3670837623488,4420.054781581605,431.84528856746556,5117.555980708343,134.34408944072788,5251.90007014907,-5251.900070149071,-9.094947017729282e-13
1971.598953683243,1277.0107545999722,4509.477491153462,432.565030715078,5204.065690236734,137.97683163180727,5342.042521868541,-5342.0425218685405,9.094947017729282e-13
1981.4220245086456,1289.780862145972,4599.085853479889,433.28597243293655,5290.727015842563,141.64481007026302,5432.371825912825,-5432.371825912825,0.0
1991.3384152767092,1302.6786707674316,4688.880308757528,434.00811572032484,5377.540053266805,145.34837121104738,5522.888424477853,-5522.888424477853,0.0
2001.349055094556,1315.705457475106,4778.861298753009,434.7314625798587,5464.5048963724585,149.08786496040875,5613.592761332868,-5613.592761332868,0.0
2011.454882356969,1328.862512049857,4869.029266812982,435.45601501749184,5551.621637120094,152.86364471037996,5704.485281830474,-5704.485281830474,0.0
2021.6568448392654,1342.1511371703557,4959.384657874249,436.18177504252105,5638.890365543159,156.6760673736112,5795.56643291677,-5795.566432916769,9.094947017729282e-13
2031.9558997911004,1355.5726485420591,5049.927918473971,436.9087446675918,5726.3111697230115,160.52549341855047,5886.836663141562,-5886.836663141563,-9.094947017729282e-13
2042.3530140312068,1369.1283750274797,5140.659496759981,437.6369259087044,5813.884135763708,164.41228690497724,5978.296422668685,-5978.296422668685,0.0
2052.849164043083,1382.8196587777545,5231.579842501181,438.36632078521893,5901.609347766509,168.3368155198907,6069.9461632863995,-6069.9461632863995,0.0
2063.445336071637,1396.647855365532,5322.689407098028,439.0969313198609,5989.4868878041325,172.29945061375588,6161.786338417888,-6161.786338417889,-9.094947017729282e-13
2074.1425262208004,1410.6143339191874,5413.988643593122,439.8287595387273,6077.516835894735,176.30056723711436,6253.8174031318495,-6253.8174031318495,0.0
2084.9417405521126,1424.7204772583793,5505.478006681884,440.56180747129196,6165.699269975617,180.34054417755897,6346.039814153177,-6346.039814153176,9.094947017729282e-13
2095.8439951842947,1438.967682030963,5597.157952723328,441.2960771504108,6254.034265876659,184.41976399707892,6438.454029873738,-6438.454029873739,-9.094947017729282e-13
2106.8503163938212,1453.3573588512727,5689.028939750931,442.03157061232804,6342.52189729348,188.53861306977933,6531.060510363259,-6531.06051036326,-9.094947017729282e-13
2117.9617407164915,1467.8909324397855,5781.091427483601,442.76828989668184,6431.162235760307,192.69748161997586,6623.859717380283,-6623.859717380283,0.0
2129.1793150500207,1482.5698417641834,5873.345877336742,443.5062370465097,6519.955350622579,196.89676376067268,6716.852114383252,-6716.852114383251,9.094947017729282e-13
2140.504096757657,1497.3955401818253,5965.792752433416,444.2454141082537,6608.9013090092485,201.13685753242225,6810.038166541671,-6810.03816654167,9.094947017729282e-13
2151.937153772834,1512.3694955836436,6058.432517615612,444.98582313176746,6698.000175804802,205.4181649425775,6903.418340747379,-6903.418340747379,0.0
2163.4795647048686,1527.49319053948,6151.265639455603,445.7274661703205,6787.252013620991,209.74109200493194,6996.993105625923,-6996.993105625924,-9.094947017729282e-13
2175.132418945719,1542.768122444875,6244.292586267424,446.4703452806043,6876.656882768268,214.10604877976016,7090.762931548028,-7090.762931548028,0.0
2186.8968167778066,1558.1958036693238,6337.513828118431,447.21446252273853,6966.214841226913,218.513449414256,7184.728290641169,-7184.728290641169,0.0
2198.773869482917,1573.7777617060171,6430.9298368409845,447.9598199602765,7055.925944617883,222.96371218337686,7278.88965680126,-7278.889656801261,-9.094947017729282e-13
2210.764699452193,1589.5155393230773,6524.541086044223,448.7064196602104,7145.790246173338,227.4572595310949,7373.247505704433,-7373.247505704434,-9.094947017729282e-13
2222.8704402972235,1605.4106947163082,6618.348051125952,449.4542636929774,7235.807796706868,231.994518112062,7467.80231481893,-7467.8023148189295,9.094947017729282e-13
2235.0922369622467,1621.4648016634712,6712.351209284632,450.2033541324657,7325.978644583407,236.57591883369014,7562.554563417098,-7562.554563417098,0.0
2247.4312458374716,1637.679449680106,6806.551039531483,450.9536930560198,7416.302835688849,241.20189689865379,7657.504732587503,-7657.504732587503,0.0
2259.888634873537,1654.056244176907,6900.948022702693,451.70528254444645,7506.780413399323,245.87289184781662,7752.6533052471395,-7752.6533052471395,0.0
2272.465583697111,1670.596806618676,6995.542641471738,452.45812468202047,7597.411418550173,250.58934760358534,7848.000766153758,-7848.000766153758,0.0
2285.16328372765,1687.302774684863,7090.335380361811,453.21222155649036,7688.195889404597,255.35171251370343,7943.547601918301,-7943.547601918302,-9.094947017729282e-13
2297.982938295322,1704.1758024317116,7185.32672575837,453.96757525908447,7779.133861621982,260.160439395474,8039.294301017456,-8039.294301017455,9.094947017729282e-13
2310.925762760113,1721.2175604560287,7280.517165921792,454.7241878845162,7870.225368225876,265.01598558043224,8135.241353806308,-8135.241353806308,0.0
2323.99298463212,1738.429736060589,7375.907191000147,455.48206153099034,7961.470439571678,269.9188129594593,8231.389252531137,-8231.389252531137,0.0
2337.1858436930506,1755.8140334211948,7471.497293042082,456.2411983002088,8052.869103313937,274.86938802835334,8327.73849134229,-8327.738491342292,-1.8189894035458565e-12
2350.505592118936,1773.3721737554067,7567.2879660098315,457.0016002973758,8144.4213843733605,279.8681819338465,8424.289566307207,-8424.289566307207,0.0
2363.9534946040712,1791.1058954929608,7663.279705792335,457.76326963120476,8236.127304903446,284.9156705200944,8521.042975423541,-8521.04297542354,1.8189894035458565e-12
2377.530828486195,1809.0169544478904,7759.473010218481,458.5262084139235,8327.986884256787,290.01233437561905,8617.999218632405,-8617.999218632403,1.8189894035458565e-12
2391.2388838729194,1827.1071239923692,7855.868379070469,459.29041876127997,8420.000138951018,295.15865888072994,8715.158797831748,-8715.15879783175,-1.8189894035458565e-12
2405.0789637694297,1845.378195232293,7952.4663140972925,460.0559027925488,8512.167082634429,300.35513425541217,8812.522216889842,-8812.522216889842,0.0
2419.052384207452,1863.8319771846159,8049.267319028347,460.82266263053646,8604.487726051182,305.60225560770004,8910.089981658883,-8910.089981658884,-1.8189894035458565e-12
2433.1604743755224,1882.470296956462,8146.271899587158,461.59070040158724,8696.96207700622,310.9005229825268,9007.862599988746,-9007.862599988748,-1.8189894035458565e-12
2447.404576750546,1901.2949999260268,8243.480563505242,462.36001823559,8789.59014032976,316.25044141107105,9105.840581740831,-9105.840581740833,-1.8189894035458565e-12
2461.786047230678,1920.307949925287,8340.893820536077,463.1306182659826,8882.371917841469,321.6525209605916,9204.02443880206,-9204.024438802062,-1.8189894035458565e-12
2476.3062552695387,1939.5110294245399,8438.512182469229,463.9025026297593,8975.307408314227,327.1072767847604,9302.414685098987,-9302.41468509899,-1.8189894035458565e-12
2490.9665840117605,1958.9061397187852,8536.336163144571,464.6756734674756,9068.396607437548,332.6152291745002,9401.011836612048,-9401.01183661205,-1.8189894035458565e-12
2505.7684304298955,1978.495201115973,8634.36627846667,465.4501329232547,9161.639507780594,338.1769036093324,9499.816411389926,-9499.816411389927,-1.8189894035458565e-12
2520.7132054626936,1998.2801531271327,8732.603046419275,466.22588314479344,9255.036098754837,343.7928308092323,9598.82892956407,-9598.828929564072,-1.8189894035458565e-12
2535.802334154761,2018.2629546584042,8831.046987079955,467.00292628336814,9348.586366576312,349.4635467870112,9698.049913363324,-9698.049913363326,-1.8189894035458565e-12
2551.0372557976125,2038.445584204988,8929.698622634862,467.78126449384035,9442.290294227487,355.1895929012162,9797.479887128702,-9797.479887128704,-1.8189894035458565e-12
2566.419424072144,2058.830040047038,9028.558477393635,468.5608999346634,9536.147861418742,360.9715159095572,9897.1193773283,-9897.119377328301,-1.8189894035458565e-12
2581.950307192518,2079.4183404475084,9127.627077804442,469.34183476788786,9630.159044549451,366.8098680228786,9996.96891257233,-9996.96891257233,0.0
2597.6313880514945,2100.2125238519834,9226.90495246915,470.1240711591676,9724.32381666866,372.7052069596566,10097.029023628318,-10097.02902362832,-1.8189894035458565e-12
2613.464164367217,2121.2146490905034,9326.392632158648,470.9076112777662,9818.642147435361,378.6580960010524,10197.300243436413,-10197.300243436415,-1.8189894035458565e-12
2629.45014883146,2142.4267955814084,9426.090649828298,471.69245729656245,9913.11400307835,384.66910404651117,10297.783107124862,-10297.783107124862,0.0
2645.590869259362,2163.8510635372227,9525.999540633537,472.4786113920566,10007.739346355676,390.7388056699174,10398.478152025593,-10398.478152025595,-1.8189894035458565e-12
2661.8878687406595,2185.489574172595,9626.119841945618,473.26607574437674,10102.518136513681,396.8677811763123,10499.385917689993,-10499.385917689997,-3.637978807091713e-12
2678.3427057924273,2207.344469914321,9726.452093367501,474.05485253728403,10197.450329245607,403.05661665917796,10600.506945904785,-10600.506945904786,-1.8189894035458565e-12
2694.95695451335,2229.4179146134643,9826.99683674988,474.84494395817944,10292.535876649765,409.3059040582939,10701.841780708059,-10701.841780708062,-3.637978807091713e-12
2711.732204739534,2251.712093759599,9927.75461620737,475.6363521981099,10387.774727187305,415.61624121817476,10803.39096840548,-10803.390968405482,-1.8189894035458565e-12
2728.6700622018807,2274.229214697195,10028.725978134835,476.42907945177336,10483.16682563952,421.98823194708757,10905.155057586608,-10905.15505758661,-1.8189894035458565e-12
2745.77214868503,2296.971506844167,10129.91147122387,477.2231279175263,10578.712113064732,428.42248607666306,11007.134599141395,-11007.134599141398,-3.637978807091713e-12
2763.040102187895,2319.9412219126084,10231.311646479433,478.0184997973888,10674.41052675472,434.91961952210204,11109.330146276821,-11109.330146276823,-1.8189894035458565e-12
2780.475577085803,2343.1406341317343,10332.927057236635,478.8151972970511,10770.262000190703,441.48025434298233,11211.742254533685,-11211.742254533689,-3.637978807091713e-12
